metric,n_neighbors,pp@cat_encoder,pp@decomposition,pp@featuregen,pp@featureselector,pp@scaler,weights,p,pp@kernel_pca_kernel,pp@kernel_pca_n_components,pp@poly_degree,pp@selectp_percentile,pp@std_with_std,anchor_size,score
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,16,0.9879999999999999
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,23,0.9813333333333334
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,32,0.9786666666666667
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,45,0.9866666666666667
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,64,0.9813333333333333
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,91,0.9786666666666667
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,128,0.9453333333333334
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,181,0.836
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,256,0.7666666666666666
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,362,0.7693333333333333
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,512,0.744
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,724,0.724
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,1024,0.6706666666666667
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,1200,0.6573333333333333
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,16,0.9879999999999999
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,23,0.9813333333333334
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,32,0.9786666666666667
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,45,0.9866666666666667
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,64,0.9813333333333333
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,91,0.9786666666666667
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,128,0.9453333333333334
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,181,0.836
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,256,0.7666666666666666
