metric,n_neighbors,pp@cat_encoder,pp@decomposition,pp@featuregen,pp@featureselector,pp@scaler,weights,p,pp@kernel_pca_kernel,pp@kernel_pca_n_components,pp@poly_degree,pp@selectp_percentile,pp@std_with_std,anchor_size,score
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,16,0.9463999999999999
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,23,0.9437999999999999
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,32,0.9045000000000002
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,45,0.9076000000000001
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,64,0.8137000000000001
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,91,0.6782
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,128,0.5627
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,181,0.5043
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,256,0.44939999999999997
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,362,0.3827
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,512,0.3229
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,724,0.2671
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,1024,0.21790000000000004
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,1448,0.1764
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,2048,0.1434
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,2896,0.11650000000000002
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,4096,0.09230000000000001
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,5793,0.07409999999999997
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,8192,0.0628
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,11585,0.04920000000000002
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,16000,0.04190000000000003
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,16,0.9463999999999999
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,23,0.9437999999999999
